entry,at,order
"The player ""Robbie @ oUUndIYjNo"" passed the room ownership to ""EF @ wBSnt8Zo0S"".",2025-04-19T04:53:41.813Z,174503842181300
"The player ""Beauch @ AkUyu8V7ep"" quits the game with a stack of 0.",2025-04-19T04:42:09.336Z,174503772933600
"-- ending hand #134 --",2025-04-19T04:42:03.307Z,174503772330701
"""EF @ wBSnt8Zo0S"" collected 426 from pot with Pair, Q's (combination: Q♠, Q♦, J♣, 10♠, 5♣)",2025-04-19T04:42:03.307Z,174503772330700
"River: 5♣, 10♠, 3♣, Q♦ [2♣]",2025-04-19T04:41:59.294Z,174503771929400
"Turn: 5♣, 10♠, 3♣ [Q♦]",2025-04-19T04:41:55.268Z,174503771526800
"Flop:  [5♣, 10♠, 3♣]",2025-04-19T04:41:51.248Z,174503771124800
"""Beauch @ AkUyu8V7ep"" shows a J♦, 3♥.",2025-04-19T04:41:47.225Z,174503770722501
"""EF @ wBSnt8Zo0S"" shows a Q♠, J♣.",2025-04-19T04:41:47.225Z,174503770722500
"""EF @ wBSnt8Zo0S"" calls 213",2025-04-19T04:41:46.403Z,174503770640300
"""Beauch @ AkUyu8V7ep"" raises to 213 and go all in",2025-04-19T04:41:41.689Z,174503770168900
"""EF @ wBSnt8Zo0S"" posts a big blind of 20",2025-04-19T04:41:32.036Z,174503769203605
"""Beauch @ AkUyu8V7ep"" posts a small blind of 10",2025-04-19T04:41:32.036Z,174503769203604
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1187) | #9 ""Beauch @ AkUyu8V7ep"" (213)",2025-04-19T04:41:32.036Z,174503769203601
"-- starting hand #134 (id: fuaqrcfdyzkq)  (No Limit Texas Hold'em) (dealer: ""Beauch @ AkUyu8V7ep"") --",2025-04-19T04:41:32.036Z,174503769203600
"-- ending hand #133 --",2025-04-19T04:41:29.114Z,174503768911402
"""EF @ wBSnt8Zo0S"" collected 40 from pot",2025-04-19T04:41:29.114Z,174503768911401
"Uncalled bet of 40 returned to ""EF @ wBSnt8Zo0S""",2025-04-19T04:41:29.114Z,174503768911400
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:41:28.232Z,174503768823200
"""EF @ wBSnt8Zo0S"" bets 40",2025-04-19T04:41:24.623Z,174503768462300
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:41:20.640Z,174503768064000
"Flop:  [2♦, A♦, 5♠]",2025-04-19T04:41:16.889Z,174503767688900
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:41:16.069Z,174503767606900
"""EF @ wBSnt8Zo0S"" calls 20",2025-04-19T04:41:14.652Z,174503767465200
"""Beauch @ AkUyu8V7ep"" posts a big blind of 20",2025-04-19T04:41:11.395Z,174503767139505
"""EF @ wBSnt8Zo0S"" posts a small blind of 10",2025-04-19T04:41:11.395Z,174503767139504
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1167) | #9 ""Beauch @ AkUyu8V7ep"" (233)",2025-04-19T04:41:11.395Z,174503767139501
"-- starting hand #133 (id: b8vtgnfjbkb2)  (No Limit Texas Hold'em) (dealer: ""EF @ wBSnt8Zo0S"") --",2025-04-19T04:41:11.395Z,174503767139500
"-- ending hand #132 --",2025-04-19T04:41:08.471Z,174503766847102
"""EF @ wBSnt8Zo0S"" collected 20 from pot",2025-04-19T04:41:08.471Z,174503766847101
"Uncalled bet of 10 returned to ""EF @ wBSnt8Zo0S""",2025-04-19T04:41:08.471Z,174503766847100
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:41:07.622Z,174503766762200
"""EF @ wBSnt8Zo0S"" posts a big blind of 20",2025-04-19T04:40:58.628Z,174503765862805
"""Beauch @ AkUyu8V7ep"" posts a small blind of 10",2025-04-19T04:40:58.628Z,174503765862804
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1157) | #9 ""Beauch @ AkUyu8V7ep"" (243)",2025-04-19T04:40:58.628Z,174503765862801
"-- starting hand #132 (id: ua0djnaghjls)  (No Limit Texas Hold'em) (dealer: ""Beauch @ AkUyu8V7ep"") --",2025-04-19T04:40:58.628Z,174503765862800
"-- ending hand #131 --",2025-04-19T04:40:55.705Z,174503765570502
"""EF @ wBSnt8Zo0S"" collected 40 from pot",2025-04-19T04:40:55.705Z,174503765570501
"Uncalled bet of 20 returned to ""EF @ wBSnt8Zo0S""",2025-04-19T04:40:55.705Z,174503765570500
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:40:54.896Z,174503765489600
"""EF @ wBSnt8Zo0S"" bets 20",2025-04-19T04:40:49.404Z,174503764940400
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:40:47.163Z,174503764716300
"Flop:  [K♦, 3♥, 6♦]",2025-04-19T04:40:41.649Z,174503764164900
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:40:40.830Z,174503764083000
"""EF @ wBSnt8Zo0S"" calls 20",2025-04-19T04:40:35.848Z,174503763584800
"""Beauch @ AkUyu8V7ep"" posts a big blind of 20",2025-04-19T04:40:32.561Z,174503763256105
"""EF @ wBSnt8Zo0S"" posts a small blind of 10",2025-04-19T04:40:32.561Z,174503763256104
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1137) | #9 ""Beauch @ AkUyu8V7ep"" (263)",2025-04-19T04:40:32.561Z,174503763256101
"-- starting hand #131 (id: ahkxawb3rcxl)  (No Limit Texas Hold'em) (dealer: ""EF @ wBSnt8Zo0S"") --",2025-04-19T04:40:32.561Z,174503763256100
"-- ending hand #130 --",2025-04-19T04:40:29.657Z,174503762965702
"""EF @ wBSnt8Zo0S"" collected 120 from pot",2025-04-19T04:40:29.657Z,174503762965701
"Uncalled bet of 80 returned to ""EF @ wBSnt8Zo0S""",2025-04-19T04:40:29.657Z,174503762965700
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:40:28.847Z,174503762884700
"""EF @ wBSnt8Zo0S"" bets 80",2025-04-19T04:40:16.283Z,174503761628300
"Flop:  [4♠, A♦, 7♥]",2025-04-19T04:40:08.590Z,174503760859000
"""Beauch @ AkUyu8V7ep"" calls 60",2025-04-19T04:40:07.783Z,174503760778300
"""EF @ wBSnt8Zo0S"" raises to 60",2025-04-19T04:40:05.684Z,174503760568400
"""Beauch @ AkUyu8V7ep"" calls 20",2025-04-19T04:40:00.866Z,174503760086600
"""EF @ wBSnt8Zo0S"" posts a big blind of 20",2025-04-19T04:39:56.962Z,174503759696205
"""Beauch @ AkUyu8V7ep"" posts a small blind of 10",2025-04-19T04:39:56.962Z,174503759696204
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1077) | #9 ""Beauch @ AkUyu8V7ep"" (323)",2025-04-19T04:39:56.962Z,174503759696201
"-- starting hand #130 (id: 7cdnysxgmrnb)  (No Limit Texas Hold'em) (dealer: ""Beauch @ AkUyu8V7ep"") --",2025-04-19T04:39:56.962Z,174503759696200
"-- ending hand #129 --",2025-04-19T04:39:54.046Z,174503759404602
"""EF @ wBSnt8Zo0S"" collected 40 from pot",2025-04-19T04:39:54.046Z,174503759404601
"Uncalled bet of 40 returned to ""EF @ wBSnt8Zo0S""",2025-04-19T04:39:54.046Z,174503759404600
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:39:53.229Z,174503759322900
"""EF @ wBSnt8Zo0S"" bets 40",2025-04-19T04:39:46.103Z,174503758610300
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:39:42.185Z,174503758218500
"Flop:  [9♣, A♦, A♥]",2025-04-19T04:39:34.885Z,174503757488500
"""Beauch @ AkUyu8V7ep"" checks",2025-04-19T04:39:34.083Z,174503757408300
"""EF @ wBSnt8Zo0S"" calls 20",2025-04-19T04:39:33.132Z,174503757313200
"""Beauch @ AkUyu8V7ep"" posts a big blind of 20",2025-04-19T04:39:18.194Z,174503755819406
"""EF @ wBSnt8Zo0S"" posts a small blind of 10",2025-04-19T04:39:18.194Z,174503755819405
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (1057) | #9 ""Beauch @ AkUyu8V7ep"" (343)",2025-04-19T04:39:18.194Z,174503755819402
"-- starting hand #129 (id: s1sdsiqdt9gm)  (No Limit Texas Hold'em) (dealer: ""EF @ wBSnt8Zo0S"") --",2025-04-19T04:39:18.194Z,174503755819401
"The player ""Robbie @ oUUndIYjNo"" quits the game with a stack of 0.",2025-04-19T04:39:18.194Z,174503755819400
"-- ending hand #128 --",2025-04-19T04:39:12.192Z,174503755219201
"""EF @ wBSnt8Zo0S"" collected 194 from pot with Two Pair, A's & J's (combination: A♠, A♦, J♠, J♣, 9♦)",2025-04-19T04:39:12.192Z,174503755219200
"River: A♦, 9♦, J♣, 4♣ [8♦]",2025-04-19T04:39:08.178Z,174503754817800
"Turn: A♦, 9♦, J♣ [4♣]",2025-04-19T04:39:04.161Z,174503754416100
"""Robbie @ oUUndIYjNo"" shows a 5♣, J♦.",2025-04-19T04:39:00.140Z,174503754014001
"""EF @ wBSnt8Zo0S"" shows a J♠, A♠.",2025-04-19T04:39:00.140Z,174503754014000
"""EF @ wBSnt8Zo0S"" calls 57",2025-04-19T04:38:59.321Z,174503753932100
"""Robbie @ oUUndIYjNo"" raises to 57 and go all in",2025-04-19T04:38:57.280Z,174503753728000
"""EF @ wBSnt8Zo0S"" bets 40",2025-04-19T04:38:52.769Z,174503753276900
"Flop:  [A♦, 9♦, J♣]",2025-04-19T04:38:45.981Z,174503752598100
"""Robbie @ oUUndIYjNo"" calls 40",2025-04-19T04:38:45.164Z,174503752516400
"""EF @ wBSnt8Zo0S"" raises to 40",2025-04-19T04:38:39.659Z,174503751965900
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:38:36.591Z,174503751659100
"""Robbie @ oUUndIYjNo"" posts a big blind of 20",2025-04-19T04:38:26.510Z,174503750651006
"""EF @ wBSnt8Zo0S"" posts a small blind of 10",2025-04-19T04:38:26.510Z,174503750651005
"Player stacks: #1 ""EF @ wBSnt8Zo0S"" (960) | #6 ""Robbie @ oUUndIYjNo"" (97) | #9 ""Beauch @ AkUyu8V7ep"" (343)",2025-04-19T04:38:26.510Z,174503750651001
"-- starting hand #128 (id: ttjjxhraznlr)  (No Limit Texas Hold'em) (dealer: ""Beauch @ AkUyu8V7ep"") --",2025-04-19T04:38:26.510Z,174503750651000
"-- ending hand #127 --",2025-04-19T04:38:23.583Z,174503750358302
"""Robbie @ oUUndIYjNo"" collected 50 from pot",2025-04-19T04:38:23.583Z,174503750358301
"Uncalled bet of 47 returned to ""Robbie @ oUUndIYjNo""",2025-04-19T04:38:23.583Z,174503750358300
"""EF @ wBSnt8Zo0S"" folds",2025-04-19T04:38:22.708Z,174503750270800
"""Robbie @ oUUndIYjNo"" bets 47 and go all in",2025-04-19T04:38:14.502Z,174503749450200
"""EF @ wBSnt8Zo0S"" checks",2025-04-19T04:38:09.048Z,174503748904800
"Flop:  [K♣, 10♥, 9♠]",2025-04-19T04:38:05.435Z,174503748543500
"""EF @ wBSnt8Zo0S"" checks",2025-04-19T04:38:04.614Z,174503748461400
"""Beauch @ AkUyu8V7ep"" folds",2025-04-19T04:38:02.807Z,174503748280700
"""Robbie @ oUUndIYjNo"" calls 20",2025-04-19T04:37:58.223Z,174503747822300
