entry,at,order
"The player ""Beauch @ irGF2z1zcw"" passed the room ownership to ""JPo @ MDlaoaGcWz"".",2024-12-29T06:49:29.944Z,173545496994400
"The player ""deth @ SjkXUR7rsy"" quits the game with a stack of 0.",2024-12-29T06:43:51.580Z,173545463158000
"-- ending hand #201 --",2024-12-29T06:43:45.557Z,173545462555701
"""JPo @ MDlaoaGcWz"" collected 476 from pot with Two Pair, A's & 8's (combination: A♣, A♠, 8♦, 8♠, K♣)",2024-12-29T06:43:45.557Z,173545462555700
"River: Q♥, 8♠, A♠, 4♥ [K♣]",2024-12-29T06:43:41.539Z,173545462153900
"Turn: Q♥, 8♠, A♠ [4♥]",2024-12-29T06:43:37.509Z,173545461750900
"""JPo @ MDlaoaGcWz"" shows a 8♦, A♣.",2024-12-29T06:43:33.464Z,173545461346401
"""deth @ SjkXUR7rsy"" shows a 6♠, Q♦.",2024-12-29T06:43:33.464Z,173545461346400
"""JPo @ MDlaoaGcWz"" calls 158",2024-12-29T06:43:32.592Z,173545461259200
"""deth @ SjkXUR7rsy"" bets 158 and go all in",2024-12-29T06:43:29.812Z,173545460981200
"Flop:  [Q♥, 8♠, A♠]",2024-12-29T06:43:22.334Z,173545460233400
"""deth @ SjkXUR7rsy"" checks",2024-12-29T06:43:21.485Z,173545460148500
"""JPo @ MDlaoaGcWz"" calls 80",2024-12-29T06:43:12.530Z,173545459253000
"""deth @ SjkXUR7rsy"" posts a big blind of 80",2024-12-29T06:43:03.923Z,173545458392305
"""JPo @ MDlaoaGcWz"" posts a small blind of 40",2024-12-29T06:43:03.923Z,173545458392304
"Player stacks: #1 ""deth @ SjkXUR7rsy"" (238) | #3 ""JPo @ MDlaoaGcWz"" (962)",2024-12-29T06:43:03.923Z,173545458392301
"-- starting hand #201 (id: fx2tinccrvme)  (No Limit Texas Hold'em) (dealer: ""JPo @ MDlaoaGcWz"") --",2024-12-29T06:43:03.923Z,173545458392300
"-- ending hand #200 --",2024-12-29T06:42:57.920Z,173545457792002
"""JPo @ MDlaoaGcWz"" collected 480 from pot with Full House, 2's over Q's (combination: 2♣, 2♦, 2♥, Q♣, Q♥)",2024-12-29T06:42:57.920Z,173545457792001
"""JPo @ MDlaoaGcWz"" shows a 2♣, Q♣.",2024-12-29T06:42:57.920Z,173545457792000
"""deth @ SjkXUR7rsy"" calls 80",2024-12-29T06:42:57.086Z,173545457708600
"""JPo @ MDlaoaGcWz"" bets 80",2024-12-29T06:42:54.877Z,173545457487700
"River: Q♥, 2♦, 7♠, 4♥ [2♥]",2024-12-29T06:42:45.208Z,173545456520800
"""deth @ SjkXUR7rsy"" calls 80",2024-12-29T06:42:44.387Z,173545456438700
"""JPo @ MDlaoaGcWz"" bets 80",2024-12-29T06:42:27.169Z,173545454716900
"Turn: Q♥, 2♦, 7♠ [4♥]",2024-12-29T06:42:22.565Z,173545454256500
"""deth @ SjkXUR7rsy"" checks",2024-12-29T06:42:21.754Z,173545454175400
"""JPo @ MDlaoaGcWz"" checks",2024-12-29T06:42:12.925Z,173545453292500
"Flop:  [Q♥, 2♦, 7♠]",2024-12-29T06:42:03.171Z,173545452317100
"""JPo @ MDlaoaGcWz"" checks",2024-12-29T06:42:02.341Z,173545452234100
"""deth @ SjkXUR7rsy"" calls 80",2024-12-29T06:41:59.787Z,173545451978700
"""JPo @ MDlaoaGcWz"" posts a big blind of 80",2024-12-29T06:41:51.124Z,173545451112405
"""deth @ SjkXUR7rsy"" posts a small blind of 40",2024-12-29T06:41:51.124Z,173545451112404
"Player stacks: #1 ""deth @ SjkXUR7rsy"" (478) | #3 ""JPo @ MDlaoaGcWz"" (722)",2024-12-29T06:41:51.124Z,173545451112401
"-- starting hand #200 (id: eddpo7cpxj4i)  (No Limit Texas Hold'em) (dealer: ""deth @ SjkXUR7rsy"") --",2024-12-29T06:41:51.124Z,173545451112400
"-- ending hand #199 --",2024-12-29T06:41:48.201Z,173545450820102
"""deth @ SjkXUR7rsy"" collected 80 from pot",2024-12-29T06:41:48.201Z,173545450820101
"Uncalled bet of 40 returned to ""deth @ SjkXUR7rsy""",2024-12-29T06:41:48.201Z,173545450820100
"""JPo @ MDlaoaGcWz"" folds",2024-12-29T06:41:47.344Z,173545450734400
"""deth @ SjkXUR7rsy"" posts a big blind of 80",2024-12-29T06:41:32.282Z,173545449228205
"""JPo @ MDlaoaGcWz"" posts a small blind of 40",2024-12-29T06:41:32.282Z,173545449228204
"Player stacks: #1 ""deth @ SjkXUR7rsy"" (438) | #3 ""JPo @ MDlaoaGcWz"" (762)",2024-12-29T06:41:32.282Z,173545449228201
"-- starting hand #199 (id: 7zh67b5fsqye)  (No Limit Texas Hold'em) (dealer: ""JPo @ MDlaoaGcWz"") --",2024-12-29T06:41:32.282Z,173545449228200
"-- ending hand #198 --",2024-12-29T06:41:26.271Z,173545448627102
"""JPo @ MDlaoaGcWz"" collected 480 from pot with Two Pair, K's & Q's (combination: K♥, K♣, Q♥, Q♦, J♥)",2024-12-29T06:41:26.271Z,173545448627101
"""JPo @ MDlaoaGcWz"" shows a 10♦, J♥.",2024-12-29T06:41:26.271Z,173545448627100
"""deth @ SjkXUR7rsy"" calls 80",2024-12-29T06:41:25.435Z,173545448543500
"""JPo @ MDlaoaGcWz"" bets 80",2024-12-29T06:41:20.221Z,173545448022100
"River: Q♥, Q♦, K♥, K♣ [10♠]",2024-12-29T06:41:15.767Z,173545447576700
"""deth @ SjkXUR7rsy"" checks",2024-12-29T06:41:14.947Z,173545447494700
"""JPo @ MDlaoaGcWz"" checks",2024-12-29T06:41:11.918Z,173545447191800
"Turn: Q♥, Q♦, K♥ [K♣]",2024-12-29T06:40:58.710Z,173545445871000
"""JPo @ MDlaoaGcWz"" calls 80",2024-12-29T06:40:57.841Z,173545445784100
"""deth @ SjkXUR7rsy"" bets 80",2024-12-29T06:40:44.499Z,173545444449900
"""JPo @ MDlaoaGcWz"" checks",2024-12-29T06:40:39.468Z,173545443946800
"Flop:  [Q♥, Q♦, K♥]",2024-12-29T06:40:32.343Z,173545443234300
"""JPo @ MDlaoaGcWz"" checks",2024-12-29T06:40:31.536Z,173545443153600
"""deth @ SjkXUR7rsy"" calls 80",2024-12-29T06:40:25.351Z,173545442535100
"""JPo @ MDlaoaGcWz"" posts a big blind of 80",2024-12-29T06:40:23.120Z,173545442312005
"""deth @ SjkXUR7rsy"" posts a small blind of 40",2024-12-29T06:40:23.120Z,173545442312004
"Player stacks: #1 ""deth @ SjkXUR7rsy"" (678) | #3 ""JPo @ MDlaoaGcWz"" (522)",2024-12-29T06:40:23.120Z,173545442312001
