entry,at,order
"The player ""Robbie @ oUUndIYjNo"" quits the game with a stack of 0.",2025-01-18T06:12:19.845Z,173718073984500
"-- ending hand #166 --",2025-01-18T06:12:13.816Z,173718073381603
"""Robbie @ oUUndIYjNo"" shows a 10♦, K♠.",2025-01-18T06:12:13.816Z,173718073381602
"""JPo @ MDlaoaGcWz"" collected 124 from pot with Two Pair, J's & 4's (combination: J♥, J♣, 4♠, 4♣, 6♣)",2025-01-18T06:12:13.816Z,173718073381601
"""JPo @ MDlaoaGcWz"" shows a 4♠, J♥.",2025-01-18T06:12:13.816Z,173718073381600
"River: 6♣, 4♣, J♣, 5♠ [3♣]",2025-01-18T06:12:09.807Z,173718072980700
"Turn: 6♣, 4♣, J♣ [5♠]",2025-01-18T06:12:05.801Z,173718072580100
"Flop:  [6♣, 4♣, J♣]",2025-01-18T06:12:01.775Z,173718072177500
"""JPo @ MDlaoaGcWz"" calls 62",2025-01-18T06:11:56.873Z,173718071687300
"""Robbie @ oUUndIYjNo"" raises to 62 and go all in",2025-01-18T06:11:51.995Z,173718071199500
"""JPo @ MDlaoaGcWz"" calls 40",2025-01-18T06:11:45.097Z,173718070509700
"""Robbie @ oUUndIYjNo"" posts a big blind of 40",2025-01-18T06:11:37.933Z,173718069793305
"""JPo @ MDlaoaGcWz"" posts a small blind of 20",2025-01-18T06:11:37.933Z,173718069793304
"Player stacks: #4 ""JPo @ MDlaoaGcWz"" (1338) | #7 ""Robbie @ oUUndIYjNo"" (62)",2025-01-18T06:11:37.933Z,173718069793301
"-- starting hand #166 (id: qyfhsgycpwbj)  (No Limit Texas Hold'em) (dealer: ""JPo @ MDlaoaGcWz"") --",2025-01-18T06:11:37.933Z,173718069793300
"-- ending hand #165 --",2025-01-18T06:11:35.021Z,173718069502102
"""JPo @ MDlaoaGcWz"" collected 40 from pot",2025-01-18T06:11:35.021Z,173718069502101
"Uncalled bet of 20 returned to ""JPo @ MDlaoaGcWz""",2025-01-18T06:11:35.021Z,173718069502100
"""Robbie @ oUUndIYjNo"" folds",2025-01-18T06:11:34.177Z,173718069417700
"""JPo @ MDlaoaGcWz"" posts a big blind of 40",2025-01-18T06:11:27.899Z,173718068789905
"""Robbie @ oUUndIYjNo"" posts a small blind of 20",2025-01-18T06:11:27.899Z,173718068789904
"Player stacks: #4 ""JPo @ MDlaoaGcWz"" (1318) | #7 ""Robbie @ oUUndIYjNo"" (82)",2025-01-18T06:11:27.899Z,173718068789901
"-- starting hand #165 (id: pkaorwtkpx6j)  (No Limit Texas Hold'em) (dealer: ""Robbie @ oUUndIYjNo"") --",2025-01-18T06:11:27.899Z,173718068789900
"-- ending hand #164 --",2025-01-18T06:11:24.985Z,173718068498502
"""Robbie @ oUUndIYjNo"" collected 40 from pot",2025-01-18T06:11:24.985Z,173718068498501
"Uncalled bet of 20 returned to ""Robbie @ oUUndIYjNo""",2025-01-18T06:11:24.985Z,173718068498500
"""JPo @ MDlaoaGcWz"" folds",2025-01-18T06:11:24.104Z,173718068410400
"""Robbie @ oUUndIYjNo"" posts a big blind of 40",2025-01-18T06:11:19.587Z,173718067958705
"""JPo @ MDlaoaGcWz"" posts a small blind of 20",2025-01-18T06:11:19.587Z,173718067958704
"Player stacks: #4 ""JPo @ MDlaoaGcWz"" (1338) | #7 ""Robbie @ oUUndIYjNo"" (62)",2025-01-18T06:11:19.587Z,173718067958701
"-- starting hand #164 (id: isuuixokr18a)  (No Limit Texas Hold'em) (dealer: ""JPo @ MDlaoaGcWz"") --",2025-01-18T06:11:19.587Z,173718067958700
"-- ending hand #163 --",2025-01-18T06:11:16.647Z,173718067664702
"""JPo @ MDlaoaGcWz"" collected 40 from pot",2025-01-18T06:11:16.647Z,173718067664701
"Uncalled bet of 20 returned to ""JPo @ MDlaoaGcWz""",2025-01-18T06:11:16.647Z,173718067664700
"""Robbie @ oUUndIYjNo"" folds",2025-01-18T06:11:15.828Z,173718067582800
"""JPo @ MDlaoaGcWz"" posts a big blind of 40",2025-01-18T06:11:11.264Z,173718067126405
"""Robbie @ oUUndIYjNo"" posts a small blind of 20",2025-01-18T06:11:11.264Z,173718067126404
"Player stacks: #4 ""JPo @ MDlaoaGcWz"" (1318) | #7 ""Robbie @ oUUndIYjNo"" (82)",2025-01-18T06:11:11.264Z,173718067126401
"-- starting hand #163 (id: 3dwvcl2599sm)  (No Limit Texas Hold'em) (dealer: ""Robbie @ oUUndIYjNo"") --",2025-01-18T06:11:11.264Z,173718067126400
"-- ending hand #162 --",2025-01-18T06:11:08.353Z,173718066835302
"""JPo @ MDlaoaGcWz"" collected 160 from pot",2025-01-18T06:11:08.353Z,173718066835301
"Uncalled bet of 42 returned to ""JPo @ MDlaoaGcWz""",2025-01-18T06:11:08.353Z,173718066835300
"""Robbie @ oUUndIYjNo"" folds",2025-01-18T06:11:07.521Z,173718066752100
"""JPo @ MDlaoaGcWz"" raises to 82",2025-01-18T06:10:57.040Z,173718065704000
"""Robbie @ oUUndIYjNo"" bets 40",2025-01-18T06:10:41.788Z,173718064178800
"Flop:  [5♠, A♥, Q♠]",2025-01-18T06:10:36.057Z,173718063605700
"""Robbie @ oUUndIYjNo"" checks",2025-01-18T06:10:35.243Z,173718063524300
"""JPo @ MDlaoaGcWz"" calls 40",2025-01-18T06:10:34.295Z,173718063429500
"""Robbie @ oUUndIYjNo"" posts a big blind of 40",2025-01-18T06:10:27.983Z,173718062798305
"""JPo @ MDlaoaGcWz"" posts a small blind of 20",2025-01-18T06:10:27.983Z,173718062798304
"Player stacks: #4 ""JPo @ MDlaoaGcWz"" (1238) | #7 ""Robbie @ oUUndIYjNo"" (162)",2025-01-18T06:10:27.983Z,173718062798301
"-- starting hand #162 (id: gpi8lvqhrikk)  (No Limit Texas Hold'em) (dealer: ""JPo @ MDlaoaGcWz"") --",2025-01-18T06:10:27.983Z,173718062798300
"-- ending hand #161 --",2025-01-18T06:10:25.032Z,173718062503202
"""Robbie @ oUUndIYjNo"" collected 80 from pot",2025-01-18T06:10:25.032Z,173718062503201
"Uncalled bet of 40 returned to ""Robbie @ oUUndIYjNo""",2025-01-18T06:10:25.032Z,173718062503200
"""JPo @ MDlaoaGcWz"" folds",2025-01-18T06:10:24.178Z,173718062417800
"""Robbie @ oUUndIYjNo"" bets 40",2025-01-18T06:10:21.407Z,173718062140700
"""JPo @ MDlaoaGcWz"" checks",2025-01-18T06:10:19.444Z,173718061944400
"River: 7♣, 3♣, 4♦, 7♠ [10♣]",2025-01-18T06:10:17.569Z,173718061756900
"""Robbie @ oUUndIYjNo"" checks",2025-01-18T06:10:16.683Z,173718061668300
"""JPo @ MDlaoaGcWz"" checks",2025-01-18T06:10:15.705Z,173718061570500
"Turn: 7♣, 3♣, 4♦ [7♠]",2025-01-18T06:10:13.212Z,173718061321200
"""Robbie @ oUUndIYjNo"" checks",2025-01-18T06:10:12.392Z,173718061239200
"""JPo @ MDlaoaGcWz"" checks",2025-01-18T06:10:09.121Z,173718060912100
"Flop:  [7♣, 3♣, 4♦]",2025-01-18T06:10:03.541Z,173718060354100
"""JPo @ MDlaoaGcWz"" checks",2025-01-18T06:10:02.636Z,173718060263600
"""Robbie @ oUUndIYjNo"" calls 40",2025-01-18T06:09:58.935Z,173718059893500
"""JPo @ MDlaoaGcWz"" posts a big blind of 40",2025-01-18T06:09:46.995Z,173718058699505
