entry,at,order
"The player ""Alec @ aog4WV3Wm5"" passed the room ownership to ""Evan @ TRK2Jfyrgt"".",2024-07-20T05:51:17.359Z,172145467735900
"The player ""Phil @ VLzOHDKkW1"" quits the game with a stack of 0.",2024-07-20T05:44:13.964Z,172145425396400
"-- ending hand #153 --",2024-07-20T05:44:07.960Z,172145424796003
"""Phil @ VLzOHDKkW1"" shows a K♠, J♦.",2024-07-20T05:44:07.960Z,172145424796002
"""Evan @ TRK2Jfyrgt"" collected 988 from pot with Three of a Kind, 2's (combination: 2♦, 2♠, 2♣, A♠, K♦)",2024-07-20T05:44:07.960Z,172145424796001
"""Evan @ TRK2Jfyrgt"" shows a 2♦, 2♠.",2024-07-20T05:44:07.960Z,172145424796000
"""Evan @ TRK2Jfyrgt"" calls 254",2024-07-20T05:44:07.135Z,172145424713500
"""Phil @ VLzOHDKkW1"" raises to 254 and go all in",2024-07-20T05:44:04.808Z,172145424480800
"""Evan @ TRK2Jfyrgt"" bets 200",2024-07-20T05:43:59.309Z,172145423930900
"River: 2♣, 10♣, A♠, 9♣ [K♦]",2024-07-20T05:43:52.003Z,172145423200300
"""Phil @ VLzOHDKkW1"" calls 40",2024-07-20T05:43:51.145Z,172145423114500
"""Evan @ TRK2Jfyrgt"" bets 40",2024-07-20T05:43:48.651Z,172145422865100
"Turn: 2♣, 10♣, A♠ [9♣]",2024-07-20T05:43:43.298Z,172145422329800
"""Phil @ VLzOHDKkW1"" calls 120",2024-07-20T05:43:42.464Z,172145422246400
"""Evan @ TRK2Jfyrgt"" bets 120",2024-07-20T05:43:37.057Z,172145421705700
"Flop:  [2♣, 10♣, A♠]",2024-07-20T05:43:27.183Z,172145420718300
"""Phil @ VLzOHDKkW1"" calls 80",2024-07-20T05:43:26.342Z,172145420634200
"""Evan @ TRK2Jfyrgt"" raises to 80",2024-07-20T05:43:23.008Z,172145420300800
"""Phil @ VLzOHDKkW1"" calls 40",2024-07-20T05:43:11.805Z,172145419180500
