entry,at,order
"The player ""Jeremy @ mfMIPKwFQy"" quits the game with a stack of 0.",2024-06-23T05:19:45.541Z,171911998554100
"-- ending hand #180 --",2024-06-23T05:19:39.536Z,171911997953603
"""Jeremy @ mfMIPKwFQy"" shows a A♠, 8♠.",2024-06-23T05:19:39.536Z,171911997953602
"""Iain @ awcWMUmPGG"" collected 804 from pot with Three of a Kind, J's (combination: J♣, J♦, J♠, A♥, Q♠)",2024-06-23T05:19:39.536Z,171911997953601
"""Iain @ awcWMUmPGG"" shows a 3♠, J♣.",2024-06-23T05:19:39.536Z,171911997953600
"""Jeremy @ mfMIPKwFQy"" calls 194 and go all in",2024-06-23T05:19:38.696Z,171911997869600
"""Iain @ awcWMUmPGG"" bets 194",2024-06-23T05:19:34.124Z,171911997412400
"River: J♦, J♠, 9♥, A♥ [Q♠]",2024-06-23T05:19:24.678Z,171911996467800
"""Jeremy @ mfMIPKwFQy"" calls 168",2024-06-23T05:19:23.863Z,171911996386300
"""Iain @ awcWMUmPGG"" raises to 168",2024-06-23T05:19:20.357Z,171911996035700
"""Jeremy @ mfMIPKwFQy"" raises to 80",2024-06-23T05:19:09.936Z,171911994993600
"""Iain @ awcWMUmPGG"" bets 40",2024-06-23T05:19:06.751Z,171911994675100
"Turn: J♦, J♠, 9♥ [A♥]",2024-06-23T05:19:03.201Z,171911994320100
"""Jeremy @ mfMIPKwFQy"" checks",2024-06-23T05:19:02.376Z,171911994237600
"""Iain @ awcWMUmPGG"" checks",2024-06-23T05:18:59.886Z,171911993988600
"Flop:  [J♦, J♠, 9♥]",2024-06-23T05:18:57.505Z,171911993750500
"""Iain @ awcWMUmPGG"" checks",2024-06-23T05:18:56.636Z,171911993663600
"""Jeremy @ mfMIPKwFQy"" calls 40",2024-06-23T05:18:54.628Z,171911993462800
"""Iain @ awcWMUmPGG"" posts a big blind of 40",2024-06-23T05:18:51.020Z,171911993102005
"""Jeremy @ mfMIPKwFQy"" posts a small blind of 20",2024-06-23T05:18:51.020Z,171911993102004
