entry,at,order
"The player ""Drew @ c6VLJOIM-D"" quits the game with a stack of 0.",2025-03-29T03:37:14.664Z,174321943466400
"-- ending hand #68 --",2025-03-29T03:37:08.661Z,174321942866101
"""iain @ awcWMUmPGG"" collected 268 from pot with Three of a Kind, 9's (combination: 9♣, 9♠, 9♥, A♣, K♣)",2025-03-29T03:37:08.661Z,174321942866100
"River: Q♥, 9♥, 10♦, K♣ [A♣]",2025-03-29T03:37:04.642Z,174321942464200
"Turn: Q♥, 9♥, 10♦ [K♣]",2025-03-29T03:37:00.623Z,174321942062300
"Flop:  [Q♥, 9♥, 10♦]",2025-03-29T03:36:56.589Z,174321941658900
"""iain @ awcWMUmPGG"" shows a 9♣, 9♠.",2025-03-29T03:36:52.518Z,174321941251801
"""Drew @ c6VLJOIM-D"" shows a 2♦, A♥.",2025-03-29T03:36:52.518Z,174321941251800
"""Drew @ c6VLJOIM-D"" calls 134 and go all in",2025-03-29T03:36:51.710Z,174321941171000
"""iain @ awcWMUmPGG"" raises to 134",2025-03-29T03:36:46.869Z,174321940686900
"""Drew @ c6VLJOIM-D"" raises to 50",2025-03-29T03:36:36.671Z,174321939667100
"""iain @ awcWMUmPGG"" posts a big blind of 6",2025-03-29T03:36:28.709Z,174321938870905
"""Drew @ c6VLJOIM-D"" posts a small blind of 3",2025-03-29T03:36:28.709Z,174321938870904
"Player stacks: #2 ""Drew @ c6VLJOIM-D"" (134) | #8 ""iain @ awcWMUmPGG"" (1666)",2025-03-29T03:36:28.709Z,174321938870901
"-- starting hand #68 (id: rfyochcx19tr)  (No Limit Texas Hold'em) (dealer: ""Drew @ c6VLJOIM-D"") --",2025-03-29T03:36:28.709Z,174321938870900
"-- ending hand #67 --",2025-03-29T03:36:25.720Z,174321938572002
"""iain @ awcWMUmPGG"" collected 12 from pot",2025-03-29T03:36:25.720Z,174321938572001
"Uncalled bet of 128 returned to ""iain @ awcWMUmPGG""",2025-03-29T03:36:25.720Z,174321938572000
"""Drew @ c6VLJOIM-D"" folds",2025-03-29T03:36:24.890Z,174321938489000
"""iain @ awcWMUmPGG"" raises to 134",2025-03-29T03:36:20.215Z,174321938021500
"""Drew @ c6VLJOIM-D"" posts a big blind of 6",2025-03-29T03:36:15.911Z,174321937591105
"""iain @ awcWMUmPGG"" posts a small blind of 3",2025-03-29T03:36:15.911Z,174321937591104
"Player stacks: #2 ""Drew @ c6VLJOIM-D"" (140) | #8 ""iain @ awcWMUmPGG"" (1660)",2025-03-29T03:36:15.911Z,174321937591101
"-- starting hand #67 (id: kp8ldssuq0wt)  (No Limit Texas Hold'em) (dealer: ""iain @ awcWMUmPGG"") --",2025-03-29T03:36:15.911Z,174321937591100
"-- ending hand #66 --",2025-03-29T03:36:09.883Z,174321936988303
"""Drew @ c6VLJOIM-D"" shows a Q♣, 2♣.",2025-03-29T03:36:09.883Z,174321936988302
"""iain @ awcWMUmPGG"" collected 108 from pot with Flush, As High (combination: A♠, K♠, 10♠, 7♠, 3♠)",2025-03-29T03:36:09.883Z,174321936988301
"""iain @ awcWMUmPGG"" shows a 7♠, 3♠.",2025-03-29T03:36:09.883Z,174321936988300
"""Drew @ c6VLJOIM-D"" checks",2025-03-29T03:36:09.056Z,174321936905600
"""iain @ awcWMUmPGG"" checks",2025-03-29T03:36:05.540Z,174321936554000
"River: A♠, 10♣, K♠, 4♣ [10♠]",2025-03-29T03:36:00.871Z,174321936087100
"""iain @ awcWMUmPGG"" calls 36",2025-03-29T03:36:00.038Z,174321936003800
"""Drew @ c6VLJOIM-D"" bets 36",2025-03-29T03:35:54.218Z,174321935421800
"""iain @ awcWMUmPGG"" checks",2025-03-29T03:35:48.705Z,174321934870500
"Turn: A♠, 10♣, K♠ [4♣]",2025-03-29T03:35:44.766Z,174321934476600
"""iain @ awcWMUmPGG"" calls 12",2025-03-29T03:35:43.948Z,174321934394800
"""Drew @ c6VLJOIM-D"" bets 12",2025-03-29T03:35:40.477Z,174321934047700
"""iain @ awcWMUmPGG"" checks",2025-03-29T03:35:30.978Z,174321933097800
"Flop:  [A♠, 10♣, K♠]",2025-03-29T03:35:26.880Z,174321932688000
"""iain @ awcWMUmPGG"" checks",2025-03-29T03:35:25.998Z,174321932599800
"""Drew @ c6VLJOIM-D"" calls 6",2025-03-29T03:35:22.913Z,174321932291300
"""iain @ awcWMUmPGG"" posts a big blind of 6",2025-03-29T03:35:16.467Z,174321931646705
