entry,at,order
"The player ""iain @ awcWMUmPGG"" quits the game with a stack of 0.",2024-11-24T05:43:40.612Z,173242702061200
"-- ending hand #108 --",2024-11-24T05:43:34.581Z,173242701458101
"""Drew @ c6VLJOIM-D"" collected 1420 from pot with Straight, 9 High (combination: 9♥, 8♦, 7♥, 6♥, 5♦)",2024-11-24T05:43:34.581Z,173242701458100
"River: 7♥, 2♦, 6♥, 5♦ [7♦]",2024-11-24T05:43:30.541Z,173242701054100
"""iain @ awcWMUmPGG"" shows a 3♦, 4♣.",2024-11-24T05:43:26.474Z,173242700647401
"""Drew @ c6VLJOIM-D"" shows a 9♥, 8♦.",2024-11-24T05:43:26.474Z,173242700647400
"""Drew @ c6VLJOIM-D"" calls 690",2024-11-24T05:43:25.613Z,173242700561300
"""iain @ awcWMUmPGG"" raises to 690 and go all in",2024-11-24T05:43:23.138Z,173242700313800
"""Drew @ c6VLJOIM-D"" raises to 140",2024-11-24T05:43:06.773Z,173242698677300
"""iain @ awcWMUmPGG"" raises to 60",2024-11-24T05:43:01.405Z,173242698140500
"""Drew @ c6VLJOIM-D"" bets 20",2024-11-24T05:42:53.882Z,173242697388200
"""iain @ awcWMUmPGG"" checks",2024-11-24T05:42:51.388Z,173242697138800
"Turn: 7♥, 2♦, 6♥ [5♦]",2024-11-24T05:42:48.921Z,173242696892100
"""Drew @ c6VLJOIM-D"" checks",2024-11-24T05:42:48.044Z,173242696804400
"""iain @ awcWMUmPGG"" checks",2024-11-24T05:42:43.347Z,173242696334700
"Flop:  [7♥, 2♦, 6♥]",2024-11-24T05:42:36.110Z,173242695611000
"""iain @ awcWMUmPGG"" checks",2024-11-24T05:42:35.259Z,173242695525900
"""Drew @ c6VLJOIM-D"" calls 20",2024-11-24T05:42:31.861Z,173242695186100
"""iain @ awcWMUmPGG"" posts a big blind of 20",2024-11-24T05:42:24.821Z,173242694482105
"""Drew @ c6VLJOIM-D"" posts a small blind of 10",2024-11-24T05:42:24.821Z,173242694482104
"Player stacks: #5 ""Drew @ c6VLJOIM-D"" (890) | #6 ""iain @ awcWMUmPGG"" (710)",2024-11-24T05:42:24.821Z,173242694482101
"-- starting hand #108 (id: vn0pvztqms44)  (No Limit Texas Hold'em) (dealer: ""Drew @ c6VLJOIM-D"") --",2024-11-24T05:42:24.821Z,173242694482100
"-- ending hand #107 --",2024-11-24T05:42:21.887Z,173242694188702
"""Drew @ c6VLJOIM-D"" collected 40 from pot",2024-11-24T05:42:21.887Z,173242694188701
"Uncalled bet of 20 returned to ""Drew @ c6VLJOIM-D""",2024-11-24T05:42:21.887Z,173242694188700
"""iain @ awcWMUmPGG"" folds",2024-11-24T05:42:21.035Z,173242694103500
"""Drew @ c6VLJOIM-D"" bets 20",2024-11-24T05:42:18.754Z,173242693875400
"River: 7♥, 4♣, K♥, 4♠ [6♣]",2024-11-24T05:42:12.256Z,173242693225600
"""iain @ awcWMUmPGG"" checks",2024-11-24T05:42:11.407Z,173242693140700
"""Drew @ c6VLJOIM-D"" checks",2024-11-24T05:42:07.737Z,173242692773700
"Turn: 7♥, 4♣, K♥ [4♠]",2024-11-24T05:42:04.417Z,173242692441700
"""iain @ awcWMUmPGG"" checks",2024-11-24T05:42:03.506Z,173242692350600
"""Drew @ c6VLJOIM-D"" checks",2024-11-24T05:42:01.596Z,173242692159600
"Flop:  [7♥, 4♣, K♥]",2024-11-24T05:41:57.736Z,173242691773600
"""Drew @ c6VLJOIM-D"" checks",2024-11-24T05:41:56.875Z,173242691687500
"""iain @ awcWMUmPGG"" calls 20",2024-11-24T05:41:53.399Z,173242691339900
"""Drew @ c6VLJOIM-D"" posts a big blind of 20",2024-11-24T05:41:49.465Z,173242690946505
"""iain @ awcWMUmPGG"" posts a small blind of 10",2024-11-24T05:41:49.465Z,173242690946504
"Player stacks: #5 ""Drew @ c6VLJOIM-D"" (870) | #6 ""iain @ awcWMUmPGG"" (730)",2024-11-24T05:41:49.465Z,173242690946501
"-- starting hand #107 (id: 8zdvr7pssvor)  (No Limit Texas Hold'em) (dealer: ""iain @ awcWMUmPGG"") --",2024-11-24T05:41:49.465Z,173242690946500
"-- ending hand #106 --",2024-11-24T05:41:46.502Z,173242690650202
"""iain @ awcWMUmPGG"" collected 20 from pot",2024-11-24T05:41:46.502Z,173242690650201
"Uncalled bet of 10 returned to ""iain @ awcWMUmPGG""",2024-11-24T05:41:46.502Z,173242690650200
"""Drew @ c6VLJOIM-D"" folds",2024-11-24T05:41:45.695Z,173242690569500
"""iain @ awcWMUmPGG"" posts a big blind of 20",2024-11-24T05:41:41.333Z,173242690133305
"""Drew @ c6VLJOIM-D"" posts a small blind of 10",2024-11-24T05:41:41.333Z,173242690133304
