entry,at,order
"""Phil @ VLzOHDKkW1"" folds",2024-09-21T18:21:38.381Z,172694289838100
"The player ""Deth @ SjkXUR7rsy"" passed the room ownership to ""EF @ VFc4GElQEd"".",2024-09-21T06:18:33.739Z,172689951373900
"""JPo @ mfMIPKwFQy"" posts a big blind of 40",2024-09-21T06:02:04.348Z,172689852434806
"""Phil @ VLzOHDKkW1"" posts a small blind of 20",2024-09-21T06:02:04.348Z,172689852434805
"Player stacks: #9 ""Phil @ VLzOHDKkW1"" (362) | #10 ""JPo @ mfMIPKwFQy"" (559)",2024-09-21T06:02:04.348Z,172689852434802
"-- starting hand #178 (id: n0yxmurnjmxe)  (No Limit Texas Hold'em) (dealer: ""Phil @ VLzOHDKkW1"") --",2024-09-21T06:02:04.348Z,172689852434801
"The player ""EF @ VFc4GElQEd"" stand up with the stack of 679.",2024-09-21T06:02:04.348Z,172689852434800
"-- ending hand #177 --",2024-09-21T06:02:01.445Z,172689852144502
"""Phil @ VLzOHDKkW1"" collected 40 from pot",2024-09-21T06:02:01.445Z,172689852144501
"Uncalled bet of 20 returned to ""Phil @ VLzOHDKkW1""",2024-09-21T06:02:01.445Z,172689852144500
"""EF @ VFc4GElQEd"" folds",2024-09-21T06:02:00.603Z,172689852060300
"""JPo @ mfMIPKwFQy"" folds",2024-09-21T06:01:48.149Z,172689850814900
"""Phil @ VLzOHDKkW1"" posts a big blind of 40",2024-09-21T06:01:28.101Z,172689848810106
"""EF @ VFc4GElQEd"" posts a small blind of 20",2024-09-21T06:01:28.101Z,172689848810105
"Player stacks: #2 ""EF @ VFc4GElQEd"" (699) | #9 ""Phil @ VLzOHDKkW1"" (342) | #10 ""JPo @ mfMIPKwFQy"" (559)",2024-09-21T06:01:28.101Z,172689848810101
"-- starting hand #177 (id: qgha6vhb7doc)  (No Limit Texas Hold'em) (dealer: ""JPo @ mfMIPKwFQy"") --",2024-09-21T06:01:28.101Z,172689848810100
"-- ending hand #176 --",2024-09-21T06:01:22.041Z,172689848204103
"""JPo @ mfMIPKwFQy"" shows a K♠, 3♠.",2024-09-21T06:01:22.041Z,172689848204102
"""EF @ VFc4GElQEd"" collected 80 from pot with Pair, 6's (combination: 6♥, 6♦, A♣, K♣, 9♠)",2024-09-21T06:01:22.041Z,172689848204101
"""EF @ VFc4GElQEd"" shows a 9♠, K♣.",2024-09-21T06:01:22.041Z,172689848204100
"""EF @ VFc4GElQEd"" checks",2024-09-21T06:01:21.224Z,172689848122400
"""JPo @ mfMIPKwFQy"" checks",2024-09-21T06:01:00.351Z,172689846035100
"River: 7♠, 6♥, A♣, 5♦ [6♦]",2024-09-21T06:00:40.320Z,172689844032000
"""EF @ VFc4GElQEd"" checks",2024-09-21T06:00:39.503Z,172689843950300
"""JPo @ mfMIPKwFQy"" checks",2024-09-21T06:00:18.623Z,172689841862300
"Turn: 7♠, 6♥, A♣ [5♦]",2024-09-21T06:00:12.741Z,172689841274100
"""EF @ VFc4GElQEd"" checks",2024-09-21T06:00:11.899Z,172689841189900
"""JPo @ mfMIPKwFQy"" checks",2024-09-21T06:00:05.594Z,172689840559400
"Flop:  [7♠, 6♥, A♣]",2024-09-21T05:59:48.553Z,172689838855300
"""EF @ VFc4GElQEd"" checks",2024-09-21T05:59:47.750Z,172689838775000
"""JPo @ mfMIPKwFQy"" calls 40",2024-09-21T05:59:26.895Z,172689836689500
"""Phil @ VLzOHDKkW1"" folds",2024-09-21T05:59:23.363Z,172689836336300
"""EF @ VFc4GElQEd"" posts a big blind of 40",2024-09-21T05:59:20.950Z,172689836095006
"""JPo @ mfMIPKwFQy"" posts a small blind of 20",2024-09-21T05:59:20.950Z,172689836095005
"Player stacks: #2 ""EF @ VFc4GElQEd"" (659) | #9 ""Phil @ VLzOHDKkW1"" (342) | #10 ""JPo @ mfMIPKwFQy"" (599)",2024-09-21T05:59:20.950Z,172689836095001
